cust_id,date,plan_type,agent,cancel_reason,outcome,postal_code,add_ons
644933,2023-06-30,VIP Standard - Furnace,Jack,Unused,Y,N2L,"HRV System, Duct Cleaning, Boiler System, Humidifier, Ductless System, Water Heater, Tankless, Gas Fireplace"
146986,2023-02-27,Whole House Protection,Bob,Bad Customer Service,Y,N2N,"Gas Fireplace, Tankless, HRV System, Water Heater, Humidifier, Duct Cleaning, Ductless System"
180326,2023-07-17,VIP Standard - AC/Heat Pump,Jill,Bad Customer Service,N,N2J,"Ductless System, Gas Fireplace, HRV System, Duct Cleaning, Water Heater, Humidifier, Boiler System"
736959,2023-09-20,VIP Standard - Furnace,Bob,Unused,N,N2J,"Duct Cleaning, Humidifier, Tankless, Water Heater"
171182,2023-01-26,VIP Standard - AC/Heat Pump,Jane,Unused,N,N2B,"Humidifier, Duct Cleaning, Ductless System, Boiler System, HRV System"
476453,2023-03-20,Whole House Protection,Jane,Bad Customer Service,N,N2P,Humidifier
926442,2023-09-14,VIP Standard - Furnace & AC/Heat Pump,Bob,Unused,N,N2T,"Tankless, Duct Cleaning, Ductless System, Gas Fireplace"
177801,2023-02-16,VIP Standard - Furnace & AC/Heat Pump,Jane,Price,N,N2P,
837287,2023-11-10,Whole House Protection,Jane,Unused,N,N2L,"Water Heater, Humidifier, Gas Fireplace, Boiler System, HRV System, Ductless System, Duct Cleaning, Tankless"
683802,2023-10-03,Whole House Protection,Jane,Moving,Y,N2N,"Boiler System, Tankless, Humidifier, Gas Fireplace, Duct Cleaning, HRV System, Water Heater"
897696,2023-05-16,VIP Standard - AC/Heat Pump,Jane,Unused,N,N2E,"Tankless, HRV System, Humidifier, Gas Fireplace, Boiler System"
459616,2023-02-21,VIP Essential,Bob,Price,Y,N2M,"Tankless, Water Heater, Gas Fireplace, HRV System"
477763,2023-04-24,VIP Standard - Furnace & AC/Heat Pump,Jack,Bad Customer Service,Y,N2L,"Humidifier, Duct Cleaning, Tankless, Gas Fireplace, HRV System"
874918,2023-02-24,VIP Essential,Jill,Price,N,N2T,Humidifier
879996,2023-05-10,VIP Essential,Jill,Bad Customer Service,Y,N2L,"Ductless System, Humidifier, Duct Cleaning, Boiler System"
861838,2023-08-21,VIP Standard - AC/Heat Pump,Jill,Price,Y,N2M,"Duct Cleaning, Tankless"
614215,2023-02-09,VIP Standard - AC/Heat Pump,Bob,Price,N,N2E,"Boiler System, Tankless, Ductless System, HRV System, Humidifier"
646192,2023-02-28,VIP Standard - Furnace & AC/Heat Pump,Jane,Unused,Y,N2L,Tankless
559214,2023-03-20,Whole House Protection,Jack,Price,N,N2A,"Duct Cleaning, Humidifier"
324005,2023-09-05,Whole House Protection,Jack,Bad Customer Service,N,N2V,"Humidifier, Ductless System, Boiler System, Gas Fireplace, Water Heater, Tankless, Duct Cleaning"
153942,2023-01-27,VIP Standard - Furnace,Jill,Unused,N,N2G,"Boiler System, Tankless"
559642,2023-04-25,VIP Essential,Bob,Unused,Y,N2J,"HRV System, Boiler System, Ductless System, Gas Fireplace, Humidifier, Duct Cleaning, Water Heater, Tankless"
727119,2023-08-23,VIP Essential,Bob,Unused,N,N2G,"Tankless, Water Heater, Boiler System, Gas Fireplace, HRV System"
411716,2023-05-23,VIP Standard - AC/Heat Pump,Jill,Price,N,N2A,"Duct Cleaning, Humidifier, Gas Fireplace, Boiler System"
849661,2023-11-29,VIP Essential,Jack,Moving,Y,N2K,"HRV System, Boiler System, Tankless, Gas Fireplace, Humidifier, Duct Cleaning"
133867,2023-05-26,Whole House Protection,Bob,Moving,Y,N2A,"Ductless System, Gas Fireplace, Humidifier, Water Heater, Boiler System, Duct Cleaning, HRV System"
988121,2023-07-14,VIP Standard - AC/Heat Pump,Bob,Bad Customer Service,N,N2H,"Boiler System, Gas Fireplace, Duct Cleaning, Humidifier, Ductless System, Tankless, HRV System"
415155,2023-10-03,VIP Standard - Furnace & AC/Heat Pump,Jane,Moving,Y,N2R,Duct Cleaning
988602,2023-01-25,VIP Essential,Bob,Bad Customer Service,Y,N2M,Duct Cleaning
870998,2023-09-28,VIP Standard - AC/Heat Pump,Jack,Moving,N,N2K,"Boiler System, Humidifier, Tankless, HRV System, Duct Cleaning, Water Heater, Ductless System"
259712,2023-06-07,VIP Standard - Furnace & AC/Heat Pump,Jack,Unused,N,N2R,"Ductless System, Humidifier, HRV System, Tankless, Duct Cleaning, Boiler System, Gas Fireplace"
886453,2023-02-21,VIP Standard - Furnace & AC/Heat Pump,Jill,Moving,Y,N2H,"Boiler System, Tankless, Ductless System, Gas Fireplace"
657358,2023-10-16,VIP Essential,Jack,Price,Y,N2N,"Water Heater, Gas Fireplace, Ductless System, Tankless, Boiler System"
559061,2023-07-18,Whole House Protection,Bob,Bad Customer Service,N,N2T,"Tankless, Water Heater, HRV System, Boiler System, Gas Fireplace"
606868,2023-06-26,Whole House Protection,Jill,Bad Customer Service,N,N2N,"HRV System, Water Heater, Tankless, Boiler System"
230435,2023-09-01,Whole House Protection,Jack,Unused,N,N2M,
359757,2023-08-16,VIP Standard - AC/Heat Pump,Bob,Moving,N,N2L,"Boiler System, Tankless, Gas Fireplace, Ductless System, HRV System"
289242,2023-03-27,VIP Standard - AC/Heat Pump,Bob,Unused,Y,N2C,"Tankless, Water Heater, HRV System, Duct Cleaning"
425929,2023-01-23,VIP Standard - Furnace,Jane,Unused,Y,N2V,"Duct Cleaning, HRV System, Water Heater, Boiler System, Tankless, Ductless System"
785708,2023-01-18,VIP Standard - Furnace,Bob,Price,N,N2P,"Boiler System, Ductless System, HRV System, Humidifier"
377063,2023-02-28,Whole House Protection,Jane,Bad Customer Service,N,N2G,"Water Heater, HRV System, Tankless"
639623,2023-06-16,VIP Standard - Furnace,Jack,Unused,Y,N2G,"Humidifier, HRV System"
189181,2023-03-21,Whole House Protection,Jane,Unused,N,N2B,Gas Fireplace
811102,2023-05-25,Whole House Protection,Jane,Bad Customer Service,N,N2C,Tankless
790229,2023-09-08,Whole House Protection,Jack,Unused,Y,N2J,
957061,2023-02-22,VIP Standard - Furnace,Bob,Moving,N,N2P,"Humidifier, Duct Cleaning, Tankless, Water Heater, Ductless System, Gas Fireplace, HRV System"
